"Date","Geo Port","Inflation"
"1972-10-13",14630.4,11189.36
"1972-10-16",14521.55,11194.49
"1972-10-17",14660.2,11196.2
"1972-10-18",14775.01,11197.91
"1972-10-19",14700.34,11199.62
"1972-10-20",14832.81,11201.33
"1972-10-23",15013.64,11206.47
"1972-10-24",15095.73,11208.18
"1972-10-25",15074.81,11209.89
"1972-10-26",15191.09,11211.6
"1972-10-27",15177.85,11213.31
"1972-10-30",15242.25,11218.45
"1972-10-31",15279.87,11220.16
"1972-11-01",15514.96,11221.04
"1972-11-02",15718.26,11221.93
"1972-11-03",15906.01,11222.81
"1972-11-06",15930.72,11225.46
"1972-11-08",15776.92,11227.23
"1972-11-09",15788.09,11228.12
"1972-11-10",15925.58,11229
"1972-11-13",15941.13,11231.65
"1972-11-14",16103.79,11232.54
"1972-11-15",16039.26,11233.42
"1972-11-16",16156.95,11234.31
"1972-11-17",16139.41,11235.19
"1972-11-20",16221.4,11237.84
"1972-11-21",16244.4,11238.73
"1972-11-22",16333.14,11239.61
"1972-11-24",16376.9,11241.38
"1972-11-27",16367.82,11244.03
"1972-11-28",16239.33,11244.92
"1972-11-29",16325.94,11245.8
"1972-11-30",16265.03,11246.68
"1972-12-01",16347.54,11247.54
"1972-12-04",16385.07,11250.11
"1972-12-05",16244.98,11250.96
"1972-12-06",16435.68,11251.82
"1972-12-07",16503.13,11252.67
"1972-12-08",16491.47,11253.53
"1972-12-11",16529.5,11256.1
"1972-12-12",16502.69,11256.95
"1972-12-13",16485.72,11257.81
"1972-12-14",16430.86,11258.66
"1972-12-15",16517.88,11259.52
"1972-12-18",16361.76,11262.09
"1972-12-19",16230.99,11262.94
"1972-12-20",16155.41,11263.8
"1972-12-21",16028.6,11264.65
"1972-12-22",16144.93,11265.51
"1972-12-26",16176.88,11268.93
"1972-12-27",16278.31,11269.79
"1972-12-29",16440.59,11271.5
"1973-01-02",16596.51,11274.92
"1973-01-03",16658.41,11275.78
"1973-01-04",16186.92,11276.63
"1973-01-05",16314.25,11277.49
"1973-01-08",16269.53,11280.05
"1973-01-09",16173.3,11280.91
"1973-01-10",16103.87,11281.77
"1973-01-11",16328.3,11282.62
"1973-01-12",16226.78,11283.48
"1973-01-15",16117.04,11286.04
"1973-01-16",16084.27,11286.9
"1973-01-17",16173.39,11287.76
"1973-01-18",16222.19,11288.61
